Страна;Столица;Площадь;Население;Континент
Тувалу;Фунафути;26;10782;Австралия и Океания
Сан-Марино;Сан-Марино;61;33005;Европа
Лихтенштейн;Вадуц;160;37662;Европа
МаршалловыОстрова;Маджуро;181;55717;Австралия и Океания
Сент-КитсиНевис;Бастер;261;52329;Северная Америка
МальдивскиеОстрова;Мале;300;402071;Азия
Мальта;Валлетта;316;434403;Европа
Гренада;Сент-Джорджес;340;110566;Северная Америка
Сент-ВинсентиГренадины;Кингстаун;389;110255;Северная Америка
Барбадос;Бриджтаун;430;291495;Северная Америка
АнтигуаиБарбуда;Сент-Джонс;442;93581;Северная Америка
СейшельскиеОстрова;Виктория;455;93186;Африка
Палау;Нгерулмуд;458;17661;Австралия и Океания
Андорра;Андорра-ла-Велья;468;78014;Европа
Сент-Люсия;Кастри;620;172818;Северная Америка
Бахрейн;Манама;701;1397000;Азия
ФедеративныеШтатыМикронезии;Паликир;702;105681;Австралия и Океания
Сингапур;Сингапур;714;5607300;Азия
Кирибати;ЮжнаяТарава;717;109693;Австралия и Океания
Тонга;Нукуалофа;748;106440;Австралия и Океания
Доминика;Розо;754;69393;Северная Америка
Сан-ТомеиПринсипи;Сан-Томе;1001;194000;Африка
Маврикий;Порт-Луи;2040;1263747;Африка
КоморскиеОстрова;Морони;2235;806153;Африка
Люксембург;Люксембург;2586;576249;Европа
Самоа;Апиа;2860;194899;Австралия и Океания
ЮжнаяОсетия;Цхинвал;3900;53532;Азия
Кабо-Верде;Прая;4033;538535;Африка
ТринидадиТобаго;Порт-оф-Спейн;5128;1349667;Северная Америка
Бруней;Бандар-Сери-Бегаван;5770;436620;Азия
ГосударствоПалестина;Иерусалим(Рамалла);6020;4816503;Азия
Абхазия;Сухум;8600;243564;Азия
Кипр;Никосия;9250;848319;Азия
Ливан;Бейрут;10452;5988000;Азия
Ямайка;Кингстон;10990;2723000;Северная Америка
Гамбия;Банжул;11300;2025527;Африка
Катар;Доха;11437;2553393;Азия
Вануату;Порт-Вила;12200;289700;Австралия и Океания
БагамскиеОстрова;Нассау;13940;393000;Северная Америка
Черногория;Подгорица;14026;622218;Европа
ВосточныйТимор;Дили;14874;1167242;Азия
Эсватини;Мбабане;17363;1419623;Африка
Кувейт;Эль-Кувейт;17820;4330308;Азия
Фиджи;Сува;18270;903207;Австралия и Океания
Словения;Любляна;20253;2064188;Европа
Сальвадор;Сан-Сальвадор;21040;6460271;Северная Америка
Джибути;Джибути;22000;890179;Африка
Израиль;Иерусалим;22072;8585000;Азия
Белиз;Бельмопан;22966;377968;Северная Америка
СевернаяМакедония;Скопье;25333;2071278;Европа
Руанда;Кигали;26338;11533446;Африка
Гаити;Порт-о-Пренс;27750;10911819;Северная Америка
Бурунди;Гитега;27830;11099298;Африка
ЭкваториальнаяГвинея;Малабо;28051;1222442;Африка
СоломоновыОстрова;Хониара;28450;651700;Австралия и Океания
Албания;Тирана;28748;2866026;Европа
Армения;Ереван;29741;2995100;Азия
Лесото;Масеру;30355;2160000;Африка
Бельгия;Брюссель;30528;11250585;Европа
Молдавия;Кишинёв;33846;3553056;Европа
Гвинея-Бисау;Бисау;36120;1547754;Африка
Швейцария;Берн;41290;8325194;Европа
Нидерланды;Амстердам;41526;16979120;Европа
Дания;Копенгаген;43094;5707251;Европа
Эстония;Таллин;45226;1315944;Европа
Бутан;Тхимпху;47000;784000;Азия
ДоминиканскаяРеспублика;Санто-Доминго;48730;10075045;Северная Америка
Словакия;Братислава;48845;5426252;Европа
Коста-Рика;Сан-Хосе;51100;4890379;Северная Америка
БоснияиГерцеговина;Сараево;51129;3802000;Европа
Хорватия;Загреб;56542;4190669;Европа
Того;Ломе;56785;7143000;Африка
Латвия;Рига;64589;1968957;Европа
Литва;Вильнюс;65200;2888558;Европа
Шри-Ланка;Шри-Джаяварденепура-Котте;65610;21866445;Азия
Грузия;Тбилиси;69700;3720400;Азия
Ирландия;Дублин;70273;4658530;Европа
Сьерра-Леоне;Фритаун;71740;7075641;Африка
Панама;Панама;78200;4037043;Северная Америка
Чехия;Прага;78866;10553843;Европа
ОАЭ;Абу-Даби;82880;9267000;Азия
Австрия;Вена;83858;8741753;Европа
Азербайджан;Баку;86600;9705600;Азия
Сербия;Белград;88361;9846582;Европа
Иордания;Амман;89400;9813095;Азия
Португалия;Лиссабон;92082;10341330;Европа
Венгрия;Будапешт;93030;9830485;Европа
РеспубликаКорея;Сеул;98480;51664244;Азия
Исландия;Рейкьявик;103000;332529;Европа
Гватемала;Гватемала;108890;16555556;Северная Америка
Куба;Гавана;110860;11236348;Северная Америка
Болгария;София;110910;7153784;Европа
Либерия;Монровия;111370;4001855;Африка
Гондурас;Тегусигальпа;112090;8721014;Северная Америка
Бенин;Порто-Ново;112620;11167000;Африка
Малави;Лилонгве;118480;17377468;Африка
КНДР;Пхеньян;120540;25281000;Азия
Эритрея;Асмэра;121320;5352000;Африка
Никарагуа;Манагуа;129494;6262703;Северная Америка
Греция;Афины;131940;10793526;Европа
Непал;Катманду;140800;28431494;Азия
Таджикистан;Душанбе;143100;8551000;Азия
Бангладеш;Дакка;144000;160221000;Азия
Суринам;Парамарибо;163270;558773;Южная Америка
Тунис;Тунис;163610;11154372;Африка
